row,column
14,119
36,130
60,140
15,10
17,38
16,72
15,197
45,207
89,217
109,211
140,197
185,195
228,203
249,225
84,151
107,141
136,132
163,133
200,134
229,143
241,153
270,161
304,167
342,166
377,154
408,139
438,141
473,120
273,246
302,255
326,253
357,252
379,237
410,225
442,225
467,217
501,199
18,245
22,286
22,330
18,367
16,397
18,437
20,472
39,28
36,69
43,96
49,252
60,299
55,347
58,396
58,440
53,476
70,40
67,77
108,23
108,49
104,95
96,285
99,321
101,387
102,431
99,471
150,24
155,55
161,99
146,254
143,310
137,367
135,428
144,475
189,56
200,90
236,31
234,69
247,89
285,122
330,109
283,42
292,79
320,60
368,105
398,114
235,276
230,318
249,357
257,405
251,452
193,357
191,427
358,54
352,34
387,21
402,60
435,106
460,35
480,77
318,148
368,133
268,105
245,265
173,241
235,309
342,383
364,360
369,416
400,417
384,381
414,385
286,305
283,470
301,433
287,386
319,317
352,298
389,281
419,271
457,257
487,254
484,290
444,295
409,318
367,341
483,322
304,290
210,241
181,288
81,252
80,113
263,66
405,253
322,184
298,351
175,329
125,73
166,384
181,457
222,434
219,392
493,19
440,59
353,443
318,489
217,483
190,35
308,18
91,357
320,284
452,325
125,330
